Source,Target,Value
歳入合計,特別区税,48000
歳入合計,国庫支出金,18000
歳入合計,都支出金,8500
歳入合計,特別区債,3200
歳入合計,その他収入,12300
特別区税,特別区民税,42000
特別区税,軽自動車税,200
特別区税,特別区たばこ税,5800
国庫支出金,民生費,12000
国庫支出金,教育費,3500
国庫支出金,土木費,2500
都支出金,民生費,4500
都支出金,衛生費,2000
都支出金,産業経済費,2000
特別区債,土木費,2000
特別区債,教育費,1200
その他収入,総務費,5000
その他収入,民生費,4300
その他収入,衛生費,3000
特別区民税,総務費,15000
特別区民税,民生費,20000
特別区民税,教育費,7000
軽自動車税,総務費,200
特別区たばこ税,衛生費,3000
特別区たばこ税,環境清掃費,2800
民生費,子育て支援,18000
民生費,高齢者福祉,15000
民生費,障害者福祉,7800
教育費,学校教育,8000
教育費,生涯学習,3700
土木費,道路整備,2500
土木費,公園整備,2000
総務費,一般管理,12000
総務費,区民サービス,8200
衛生費,保健事業,5000
衛生費,医療助成,3000
環境清掃費,ごみ処理,2800
産業経済費,商工振興,2000
子育て支援,歳出合計,18000
高齢者福祉,歳出合計,15000
障害者福祉,歳出合計,7800
学校教育,歳出合計,8000
生涯学習,歳出合計,3700
道路整備,歳出合計,2500
公園整備,歳出合計,2000
一般管理,歳出合計,12000
区民サービス,歳出合計,8200
保健事業,歳出合計,5000
医療助成,歳出合計,3000
ごみ処理,歳出合計,2800
商工振興,歳出合計,2000
